seed,strategy,image_key,place_key,clean_rank,clean_margin_drop,targeted_margin_drop,random_margin_drop,clean_descriptor_drift,targeted_descriptor_drift,random_descriptor_drift,clean_rank_degradation,targeted_rank_degradation,random_rank_degradation,clean_positive_similarity_drop,targeted_positive_similarity_drop,random_positive_similarity_drop,clean_failure_flip,targeted_failure_flip,random_failure_flip,clean_hit_at_1,targeted_hit_at_1,random_hit_at_1,clean_hit_at_5,targeted_hit_at_5,random_hit_at_5,clean_hit_at_10,targeted_hit_at_10,random_hit_at_10,paired_margin_difference
0,attention,Bangkok/Bangkok_0001023_2017_11_374_13.72635845259701_100.5497549817964_BH4eo1LncXcJKFdN_r9mQA.jpg,Bangkok:1023,1,0.0,0.1461336314678192,0.03738543391227722,0.0,0.3642212152481079,0.18417325019836425,0,0,0.0,0.0,0.17154747247695923,0.04993951916694641,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,0.10874819755554199
0,attention,Bangkok/Bangkok_0001913_2020_09_280_13.73731626897177_100.4846479105927_tMaJYnfZZhMWbB4Uh23oqg.jpg,Bangkok:1913,1,0.0,0.08855685591697693,0.1270658254623413,0.0,0.4604150056838989,0.30387171506881716,0,0,0.0,0.0,0.1026618480682373,0.10067058205604554,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,-0.03850896954536437
0,attention,Bangkok/Bangkok_0003924_2020_08_123_13.76052968481102_100.4979012510033_RkW8Ap4kPVy5-JQsESJFHw.jpg,Bangkok:3924,1,0.0,0.07452929019927979,0.036241188645362854,0.0,0.28426259756088257,0.20551848411560059,0,0,0.0,0.0,0.10048320889472961,0.057030922174453734,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,0.03828810155391693
0,attention,Boston/Boston_0005052_2018_06_314_42.36505539308296_-71.11298665919537_SVYFa5d_BvTs3me9F5MdaQ.jpg,Boston:5052,1,0.0,0.11494536697864532,0.06235396564006805,0.0,0.4670844078063965,0.26689921617507933,0,0,0.0,0.0,0.11016687750816345,0.047619694471359254,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,0.05259140133857727
0,attention,Brussels/Brussels_0001498_2014_09_230_50.84745950555936_4.325975181358101_CE61ndURNXaCmtsrU8srKw.jpg,Brussels:1498,1,0.0,0.06395597755908966,0.03581506013870239,0.0,0.18398243188858032,0.11260995864868165,0,0,0.0,0.0,0.04515382647514343,0.04244565963745117,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,0.028140917420387268
0,attention,Brussels/Brussels_0002724_2017_06_185_50.86295049549855_4.381024420969795_fDUHWny969o8POmoRxxfKQ.jpg,Brussels:2724,1,0.0,0.12198424339294434,0.07679346799850464,0.0,0.35254764556884766,0.2312205672264099,0,0,0.0,0.0,0.09161952137947083,0.0709192395210266,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,0.04519077539443969
0,attention,BuenosAires/BuenosAires_0000445_2015_04_247_-34.61242474079832_-58.37104089216279_u8kNxyh6_Oqo08onZ_feQQ.jpg,BuenosAires:445,1,0.0,0.08597922325134277,0.034960538148880005,0.0,0.364471435546875,0.13492946624755858,0,0,0.0,0.0,0.10501998662948608,0.038850057125091556,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,0.05101868510246277
0,attention,BuenosAires/BuenosAires_0000579_2017_07_429_-34.60614875499967_-58.41611187509191_0lI430Zj2UJo2tDtu0coQA.jpg,BuenosAires:579,1,0.0,0.07931061089038849,0.03658181726932526,0.0,0.3006131649017334,0.22179601192474366,0,0,0.0,0.0,0.03721117973327637,0.01035504937171936,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,0.04272879362106323
0,attention,Chicago/Chicago_0002267_2012_10_314_41.86723397280636_-87.63348817325631_hPPoQ3mRPnHOfBHE_v1AHQ.jpg,Chicago:2267,1,0.0,0.13846798241138458,0.04753659665584564,0.0,0.4182429313659668,0.22041767835617065,0,0,0.0,0.0,0.16223761439323425,0.08808596134185791,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,0.09093138575553894
0,attention,Chicago/Chicago_0004848_2019_08_083_41.89985642907265_-87.65951792444012_DYtOaCRxdKh2fTNj0AkWVA.jpg,Chicago:4848,1,0.0,0.039277732372283936,0.04553136229515076,0.0,0.19248604774475098,0.16199216842651368,0,0,0.0,0.0,0.02143871784210205,0.029430514574050902,0,0,0.0,1,1,1.0,1,1,1.0,1,1,1.0,-0.006253629922866821
