image_key,place_key,rank,positive_sim,negative_sim,margin,descriptor_drift,hit_at_1,hit_at_5,hit_at_10
Melbourne/Melbourne_0001269_2017_09_113_-37.84290137085354_145.0238723011844_MJ6A3mnVG8fNG7dAB-YKbw.jpg,Melbourne:1269,1,0.3446057438850403,0.1856347918510437,0.15897095203399658,0.0,1,1,1
Chicago/Chicago_0003170_2016_09_021_41.8787444794729_-87.67848653749226_2G2zEEF4zSW96gT9So_4Tg.jpg,Chicago:3170,1,0.21520933508872986,0.21191756427288055,0.003291770815849304,0.0,1,1,1
Melbourne/Melbourne_0002577_2019_07_279_-37.82889784850852_144.9587471657209_qRoNemVXpFvZn01ASChe9w.jpg,Melbourne:2577,1,0.5039629340171814,0.1969752311706543,0.3069877028465271,0.0,1,1,1
Miami/Miami_0007959_2014_02_038_25.7939292627693_-80.22010610249751_SX6MGj3P7e09wiw1b7yXlg.jpg,Miami:7959,1,0.36685964465141296,0.1975352168083191,0.16932442784309387,0.0,1,1,1
Boston/Boston_0003410_2007_09_322_42.35095716411384_-71.12039657953258_Cxrjn5nywhPL4_m7D8MX6w.jpg,Boston:3410,1,0.2724451720714569,0.20210996270179749,0.07033520936965942,0.0,1,1,1
London/London_0001799_2015_10_245_51.49486693603424_-0.130837016791764_ogclEWnt5sF01RhZrDQSpg.jpg,London:1799,1,0.4759874939918518,0.2255849540233612,0.2504025399684906,0.0,1,1,1
Chicago/Chicago_0003588_2017_08_216_41.88377369396625_-87.65558383198348_Bw_LS-buPT0cK-HBXy4xjw.jpg,Chicago:3588,1,0.6590620279312134,0.17782682180404663,0.48123520612716675,0.0,1,1,1
Miami/Miami_0004275_2007_11_191_25.76460838258467_-80.28099336024825_-_3N2LPBN_J-adUHU--Akg.jpg,Miami:4275,4,0.297270268201828,0.34161949157714844,-0.044349223375320435,0.0,0,1,1
MexicoCity/MexicoCity_0000397_2017_04_264_19.41574955761723_-99.1515184199514_OTZX5LqQSLnlnm_lq5wi1A.jpg,MexicoCity:397,1,0.3277498483657837,0.22929143905639648,0.09845840930938721,0.0,1,1,1
LosAngeles/LosAngeles_0000210_2016_01_454_34.03715924556439_-118.2385417975357_VWzvkJt6Wg7wlhPgNY0VQQ.jpg,LosAngeles:210,1,0.6074435710906982,0.19638888537883759,0.41105467081069946,0.0,1,1,1
Phoenix/Phoenix_0004939_2009_03_217_33.47300995449611_-112.0790962892488_9WL1Hixr7qjya1pdCkn9Hw.jpg,Phoenix:4939,1,0.5510736107826233,0.36067497730255127,0.19039863348007202,0.0,1,1,1
Rome/Rome_0000871_2016_06_243_41.88472837104395_12.47592975991544_ZwVrdHfxE-PpedlWvr44bA.jpg,Rome:871,1,0.3256600499153137,0.17446310818195343,0.1511969417333603,0.0,1,1,1
Melbourne/Melbourne_0001118_2009_11_280_-37.84497295220473_144.9644162279581_NOwsnCFTuyfgoG078uAtSA.jpg,Melbourne:1118,1,0.3305046260356903,0.30482059717178345,0.02568402886390686,0.0,1,1,1
Boston/Boston_0001610_2014_05_331_42.33506299642991_-71.04694104289284_wWUuxjQv5aXQo5D1_1qU2g.jpg,Boston:1610,1,0.6123019456863403,0.16590680181980133,0.4463951587677002,0.0,1,1,1
Chicago/Chicago_0002172_2017_10_097_41.86588272619642_-87.64446690201484_eyXaPKY5DCg-J34LWxYk1w.jpg,Chicago:2172,1,0.3574707806110382,0.1972970962524414,0.1601736843585968,0.0,1,1,1
London/London_0000089_2016_08_261_51.48658007510267_-0.1183597310194904_LFNzyMDKNwJbSXYvvH2ldw.jpg,London:89,1,0.3350880742073059,0.20174753665924072,0.13334053754806519,0.0,1,1,1
Rome/Rome_0001504_2019_04_056_41.89346322549537_12.47031803255623_XXGOqt9BtolvhnYN8YXghw.jpg,Rome:1504,1,0.6033150553703308,0.2448045164346695,0.3585105538368225,0.0,1,1,1
Melbourne/Melbourne_0003945_2019_11_179_-37.81546906080359_144.9489236504592_8JC2Mn6JsqRBPSWUi1pWTw.jpg,Melbourne:3945,1,0.4794763922691345,0.2631247639656067,0.21635162830352783,0.0,1,1,1
Bangkok/Bangkok_0004209_2016_08_256_13.76324421568703_100.5137217995403_xKMwNcATKj-wDHvaz6oTiA.jpg,Bangkok:4209,1,0.34882405400276184,0.12072570621967316,0.22809834778308868,0.0,1,1,1
Chicago/Chicago_0002629_2007_08_231_41.87159184722562_-87.67053608746019_Tui1B-2V9kAdxEKvLZ9zGg.jpg,Chicago:2629,1,0.34957197308540344,0.23811067640781403,0.11146129667758942,0.0,1,1,1
Miami/Miami_0002347_2013_06_254_25.74846695932055_-80.20678538746309_pTr0vPBnm_vOKo_ewUdEow.jpg,Miami:2347,1,0.47542113065719604,0.25492143630981445,0.2204996943473816,0.0,1,1,1
BuenosAires/BuenosAires_0000007_2014_01_512_-34.62716109350719_-58.41453644649778_AfozC3OZbKgfWfl92r08Hg.jpg,BuenosAires:7,1,0.47748133540153503,0.22515781223773956,0.2523235082626343,0.0,1,1,1
BuenosAires/BuenosAires_0000633_2013_10_015_-34.60472278249895_-58.39673568500849__ZQRcb0kEBGQ9Epxldy9LA.jpg,BuenosAires:633,1,0.5337510108947754,0.23338255286216736,0.30036845803260803,0.0,1,1,1
Miami/Miami_0003701_2008_01_023_25.75952315113042_-80.22706989079768_x80zAs88rdt7NtULEcsfmw.jpg,Miami:3701,1,0.4203079640865326,0.2564755082130432,0.16383245587348938,0.0,1,1,1
Phoenix/Phoenix_0004403_2020_12_321_33.46729984680479_-112.0357228929134_EYcxpyngYsrUiJF1sOgf5w.jpg,Phoenix:4403,1,0.5950118899345398,0.3116578757762909,0.2833540141582489,0.0,1,1,1
London/London_0001500_2009_08_024_51.49308995670582_-0.1387437223704337_yLNVG_5xxknGumD2Z3w59w.jpg,London:1500,1,0.5431280136108398,0.17681826651096344,0.3663097620010376,0.0,1,1,1
Brussels/Brussels_0000641_2020_06_084_50.8368387772117_4.324715045449481_oO53HHTgIkwatek6qslcXQ.jpg,Brussels:641,1,0.48145791888237,0.2302749752998352,0.2511829435825348,0.0,1,1,1
Phoenix/Phoenix_0001352_2009_03_045_33.43678439258004_-112.1140484151288_u9UqTzyuig-td1COEz-Emw.jpg,Phoenix:1352,1,0.342853844165802,0.24910497665405273,0.09374886751174927,0.0,1,1,1
London/London_0001799_2015_05_101_51.49491129375193_-0.1307856744283351_yoP9y4kPe57nUUAg5Qx_fA.jpg,London:1799,1,0.5912377834320068,0.2187298834323883,0.37250789999961853,0.0,1,1,1
London/London_0008786_2014_07_305_51.52907027924073_-0.1765739949527953_pPPO0WfheuNBqWjSwM4DLg.jpg,London:8786,1,0.6013989448547363,0.19258949160575867,0.40880945324897766,0.0,1,1,1
Miami/Miami_0002905_2019_02_190_25.75404183294856_-80.27600413456798_gs03F3FfOnC0SNnzExhQkw.jpg,Miami:2905,1,0.47186198830604553,0.28008657693862915,0.19177541136741638,0.0,1,1,1
Miami/Miami_0004072_2017_01_084_25.76250467782429_-80.23496433024391_R85ezgI3OtR-YEbLi5ke6g.jpg,Miami:4072,1,0.3843291997909546,0.30108553171157837,0.08324366807937622,0.0,1,1,1
Phoenix/Phoenix_0003794_2015_07_117_33.4613470482321_-112.0739842192789_qKRnPzmZ_BnXmO6f5S45Ag.jpg,Phoenix:3794,1,0.5178169012069702,0.17507930099964142,0.34273761510849,0.0,1,1,1
Miami/Miami_0004544_2009_06_063_25.76673469233235_-80.25698843756275_3bnNxNaqR6Qpd2Z5CJ0v4w.jpg,Miami:4544,1,0.46720999479293823,0.30890870094299316,0.15830129384994507,0.0,1,1,1
Chicago/Chicago_0005411_2015_07_258_41.90675288800486_-87.6493979451436_RHGhDbqztuMVuV-biusM-A.jpg,Chicago:5411,1,0.48254650831222534,0.2076737880706787,0.27487272024154663,0.0,1,1,1
BuenosAires/BuenosAires_0000755_2014_08_359_-34.59979367955837_-58.39809494272568_5XnTaW0w7cmtFfI_NEpLEg.jpg,BuenosAires:755,1,0.48500579595565796,0.18507592380046844,0.2999298572540283,0.0,1,1,1
London/London_0000051_2014_09_330_51.48642753843009_-0.1446963933133406_QsbvTmZAF6023K8kMs68mg.jpg,London:51,1,0.6853685975074768,0.22564028203487396,0.45972830057144165,0.0,1,1,1
Phoenix/Phoenix_0003059_2019_02_202_33.45330511425707_-112.0390325784996_4bo1iRdjrZIOwEyyxEkjNQ.jpg,Phoenix:3059,1,0.46519508957862854,0.261416494846344,0.20377859473228455,0.0,1,1,1
Boston/Boston_0006338_2014_07_156_42.37610406281616_-71.11418601635174_44NyKkTLRUInrXcAYfmHtQ.jpg,Boston:6338,1,0.40106093883514404,0.1693979799747467,0.23166295886039734,0.0,1,1,1
PRS/PRS_0003757_2014_05_428_48.87934502514107_2.273385045369209_xl3-8piU6tI7ucgM4XOhOw.jpg,PRS:3757,1,0.4520041346549988,0.14462676644325256,0.3073773682117462,0.0,1,1,1
PRS/PRS_0004482_2014_07_412_48.89339189122064_2.383484676752693_EABhztbJDltV_vTgdn6ZrA.jpg,PRS:4482,1,0.6369696855545044,0.13941076397895813,0.49755892157554626,0.0,1,1,1
London/London_0005814_2016_08_235_51.51424647331355_-0.1404347457731476_8jb-FnNfdkxCmUUvsoOQQg.jpg,London:5814,1,0.4566056430339813,0.2210623025894165,0.23554334044456482,0.0,1,1,1
WashingtonDC/WashingtonDC_0001470_2007_08_384_38.91260946441062_-77.03360501171434_2kOPjakNJlwZARWkqcMOhw.jpg,WashingtonDC:1470,1,0.30847328901290894,0.16275987029075623,0.1457134187221527,0.0,1,1,1
Madrid/Madrid_0001558_2016_03_283_40.4201453943238_-3.664357393837284_z5ScoA59RULgDVV4uKTxLg.jpg,Madrid:1558,1,0.5864071846008301,0.22080039978027344,0.36560678482055664,0.0,1,1,1
TRT/TRT_0001069_2011_08_144_43.67671568581247_-79.55077100176993_yWFhHcHzZvzSawVhBxVgAg.jpg,TRT:1069,1,0.3678373694419861,0.216632679104805,0.1512046903371811,0.0,1,1,1
Phoenix/Phoenix_0003126_2009_04_293_33.45443206292934_-112.0680768987219_KHo1691ii1ZvdxxxIV04TQ.jpg,Phoenix:3126,1,0.3798944056034088,0.2837557792663574,0.09613862633705139,0.0,1,1,1
Madrid/Madrid_0001239_2019_05_122_40.41518960301857_-3.693233327169307_5UGBUaGayXlQLhYaEx6Xtw.jpg,Madrid:1239,1,0.47240889072418213,0.19692066311836243,0.2754882276058197,0.0,1,1,1
LosAngeles/LosAngeles_0000656_2017_01_342_34.05025519576709_-118.2611360168039__ILb_b7WRLUujS4a1G85Uw.jpg,LosAngeles:656,1,0.46100372076034546,0.1936732977628708,0.2673304080963135,0.0,1,1,1
